school_type, school_no, school_status, longitude, latitude
"Primary",1081,"O",147.25,-37.4592
"Primary",1090,"O",144.741,-38.3418
"Primary",1091,"O",143.802,-37.555
"Primary",1097,"O",143.946,-36.6031
"Primary",1098,"O",145.189,-38.2995
"Primary",1103,"O",146.836,-36.3121
"Primary",1104,"O",145.157,-36.7876
"Primary",1108,"O",146.785,-37.9821
"Primary",1111,"O",145.039,-37.9424
"Primary",1112,"O",146.085,-37.0555
"Primary",1115,"O",146.725,-36.156
"Primary",1117,"O",147.068,-37.8428
"Primary",1120,"O",147.453,-37.8009
"Primary",1125,"O",145.046,-37.2026
"Primary",1126,"O",145.214,-36.6172
"Primary",1134,"O",145.24,-37.6416
"Primary",1135,"O",143.935,-37.5248
"Primary",1136,"O",142.822,-37.0496
"Primary",1141,"O",147.833,-37.7042
"Primary",1142,"O",143.543,-35.3469
"Primary",1144,"O",146.911,-36.6995
"Primary",1146,"O",144.465,-38.1869
"Primary",1147,"O",144.055,-38.1009
"Primary",1148,"O",145.066,-37.8604
"Primary",1150,"O",143.47,-37.4377
"Primary",1165,"O",144.28,-36.7751
"Primary",1167,"O",143.845,-37.5964
"Primary",1176,"O",146.877,-38.5267
"Primary",1178,"O",142.929,-38.1908
"Primary",1181,"O",144.952,-37.8418
"Primary",1183,"O",144.9,-37.8638
"Primary",1184,"O",144.887,-38.4121
"Primary",1190,"O",144.656,-38.2672
"Primary",1194,"O",141.572,-38.3176
"Primary",1207,"O",143.712,-36.9842
"Primary",1208,"O",141.082,-36.9737
"Primary",1211,"O",144.353,-36.8044
"Primary",1222,"O",145.201,-38.1177
"Primary",1225,"O",144.798,-37.0398
"Primary",1231,"O",147.631,-37.8127
"Primary",1244,"O",145.058,-37.4237
"Primary",1252,"O",144.973,-37.7911
"Primary",1254,"O",144.066,-36.995
"Primary",1259,"O",145.533,-37.7774
"Primary",1263,"O",142.768,-37.3017
"Primary",1270,"O",143.886,-37.6541
"Primary",1273,"O",145.749,-37.512
"Primary",1275,"O",144.49,-37.1712
"Primary",1277,"O",145.028,-37.3603
"Primary",1282,"O",145.241,-38.4563
"Primary",1288,"O",144.218,-37.4054
"Primary",1293,"O",143.339,-37.9546
"Primary",1295,"O",145.115,-37.7262
"Primary",1316,"O",144.249,-36.7621
"Primary",1324,"O",141.614,-38.2816
"Primary",1330,"O",143.111,-36.9007
"Primary",1334,"O",142.391,-36.2579
"Primary",1335,"O",146.383,-36.5932
"Primary",1347,"O",143.468,-36.9421
"Primary",1360,"O",144.989,-37.7923
"Primary",1362,"O",145.304,-37.6539
"Primary",1365,"O",147.174,-36.2148
"Primary",1366,"O",145.431,-36.4527
"Primary",1368,"O",145.092,-38.1955
"Primary",1369,"O",145.369,-38.5238
"Primary",1372,"O",142.03,-36.4534
"Primary",1373,"O",146.587,-36.5054
"Primary",1379,"O",146.257,-37.1028
"Primary",1386,"O",144.135,-37.9691
"Primary",1399,"O",146.361,-36.4416
"Primary",1401,"O",144.997,-37.7718
"Primary",1402,"O",144.951,-37.7986
"Primary",1403,"O",145.22,-37.9879
"Primary",1408,"O",144.387,-37.1873
"Primary",1409,"O",144.892,-37.8559
"Primary",1410,"O",143.921,-35.7317
"Primary",1417,"O",145.872,-38.0871
"Primary",1420,"O",144.078,-37.8427
"Primary",1422,"O",146.449,-36.7065
"Primary",1428,"O",144.237,-36.7068
"Primary",1432,"O",145.36,-36.3914
"Primary",1434,"O",144.787,-37.7576
"Primary",1435,"O",144.231,-37.6017
"Primary",1436,"O",143.858,-37.5779
"Primary",1441,"O",145.23,-36.445
"Primary",1455,"O",145.344,-36.4905
"Primary",1458,"O",145.142,-36.4699
"Primary",1463,"O",146.893,-36.3172
"Primary",1464,"O",145.124,-38.1476
"Primary",1465,"O",142.985,-36.3672
"Primary",1476,"O",144.978,-37.4721
"Primary",1479,"O",144.989,-37.8702
"Primary",1484,"O",143.608,-37.792
"Primary",1485,"O",145.702,-37.7558
"Primary",1488,"O",145.101,-37.0968
"Primary",1489,"O",146.676,-36.1013
"Primary",1490,"O",144.984,-37.785
"Primary",1492,"O",144.347,-38.1387
"Primary",1494,"O",145.01,-37.7305
"Primary",1503,"O",145.378,-38.2076
"Primary",1508,"O",145.034,-37.824
"Primary",1515,"O",144.609,-36.4972
"Primary",1527,"O",145.683,-36.3311
"Primary",1542,"O",145.002,-37.9118
"Primary",1548,"O",141.951,-36.7412
"Pri/Sec",1549,"O",142.476,-36.6235
"Primary",1551,"O",144.242,-36.8306
"Primary",1552,"O",143.792,-37.2907
"Primary",1554,"O",142.87,-36.6768
"Primary",1560,"O",146.694,-36.3554
"Primary",1563,"O",145.313,-36.3855
"Primary",1568,"O",144.948,-37.2958
"Primary",1571,"O",142.001,-38.0309
"Primary",1574,"O",144.487,-38.2812
"Primary",1578,"O",144.836,-37.7169
"Primary",1582,"O",143.734,-36.8516
"Primary",1583,"O",146.468,-36.1847
"Primary",1585,"O",145.414,-37.5923
"Primary",1588,"O",144.328,-37.388
"Primary",1591,"O",143.928,-37.5739
"Primary",1592,"O",144.21,-36.7445
"Primary",1595,"O",142.629,-36.6322
"Primary",1598,"O",144.505,-36.6169
"Primary",1601,"O",145.089,-37.8945
"Primary",1602,"O",144.267,-38.1735
"Primary",1604,"O",145.034,-37.856
"Primary",1609,"O",144.142,-37.3451
"Primary",1612,"O",145.298,-36.3291
"Primary",1631,"O",147.865,-37.8211
"Primary",1637,"O",143.399,-37.1841
"Primary",1642,"O",143.886,-38.3999
"Primary",1645,"O",144.572,-38.1692
"Primary",1646,"O",143.258,-36.6102
"Primary",1652,"O",142.734,-38.4668
"Primary",1660,"O",144.563,-37.4187
"Primary",1666,"O",145.202,-37.579
"Primary",1667,"O",144.824,-38.3731
"Primary",1669,"O",145.709,-37.4214
"Primary",1683,"O",143.321,-36.9899
"Primary",1687,"O",143.968,-36.977
"Primary",1694,"O",147.088,-38.1696
"Primary",1697,"O",145.345,-38.001
"Primary",1698,"O",145.123,-38.3763
