school_type, school_no, school_status, longitude, latitude
"Primary",4219,"O",145.272,-37.7664
"Primary",4220,"O",144.896,-37.7566
"Primary",4224,"O",144.333,-38.1362
"Primary",4226,"O",147.888,-37.8659
"Primary",4257,"O",145.132,-37.9827
"Primary",4263,"O",142.145,-34.288
"Primary",4265,"O",144.82,-37.7779
"Primary",4269,"O",145.462,-36.3581
"Primary",4275,"O",145.867,-38.7026
"Special",4290,"O",145.142,-38.1194
"Primary",4304,"O",144.943,-37.7706
"Primary",4309,"O",144.991,-37.7479
"Primary",4314,"O",145.092,-37.8171
"Primary",4315,"O",145.03,-37.8952
"Primary",4317,"O",145.084,-37.8622
"Primary",4318,"O",145.027,-37.9206
"Primary",4324,"O",147.171,-38.3565
"Primary",4332,"O",144.192,-38.3968
"Primary",4341,"O",145.116,-37.7083
"Primary",4359,"O",145.405,-36.2772
"Primary",4366,"O",145.053,-37.9081
"Primary",4384,"O",145.116,-37.9405
"Primary",4386,"O",145.059,-37.7746
"Primary",4387,"O",147.132,-38.0748
"Primary",4389,"O",142.127,-34.2135
"Primary",4398,"O",144.379,-38.166
"Primary",4399,"O",144.943,-37.7565
"Primary",4401,"O",145.561,-36.2255
"Primary",4407,"O",145.317,-38.0394
"Primary",4416,"O",142.193,-34.2796
"Primary",4429,"O",145.022,-37.9567
"Primary",4440,"O",144.84,-37.8646
"Primary",4458,"O",145.165,-38.3921
"Primary",4530,"O",145.333,-37.9029
"Primary",4543,"O",144.952,-37.736
"Primary",4568,"O",145.063,-37.7354
"Primary",4582,"O",145.237,-37.8725
"Primary",4612,"O",144.917,-37.7356
"Primary",4638,"O",145.077,-37.7964
"Primary",4641,"O",145.073,-37.8732
"Primary",4642,"O",146.304,-36.3541
"Primary",4644,"O",147.172,-36.7395
"Primary",4646,"O",144.985,-37.7301
"Primary",4650,"O",146.293,-38.1886
"Primary",4652,"O",146.524,-38.19
"Primary",4657,"O",145.396,-36.3668
"Primary",4661,"O",144.857,-38.3695
"Primary",4662,"O",146.26,-38.1832
"Primary",4663,"O",144.33,-38.174
"Primary",4665,"O",144.868,-37.8449
"Primary",4666,"O",145.406,-36.3901
"Primary",4669,"O",145.082,-37.8808
"Primary",4670,"O",146.294,-38.179
"Special",4675,"O",145.081,-37.8043
"Special",4679,"O",144.987,-37.764
"Primary",4680,"O",146.417,-38.2333
"Primary",4681,"O",144.332,-38.1295
"Primary",4682,"O",145.145,-38.1463
"Primary",4685,"O",145.367,-37.9114
"Primary",4686,"O",145.022,-37.72
"Primary",4687,"O",145.049,-37.9325
"Primary",4689,"O",145.456,-35.9986
"Primary",4690,"O",143.863,-37.5401
"Primary",4691,"O",146.927,-36.153
"Primary",4692,"O",146.417,-38.2177
"Primary",4694,"O",145.096,-37.8015
"Primary",4695,"O",145.94,-38.1481
"Primary",4697,"O",142.18,-36.7174
"Primary",4699,"O",146.515,-38.1993
"Primary",4700,"O",146.551,-38.2015
"Primary",4702,"O",145.252,-37.8172
"Primary",4704,"O",144.936,-37.7457
"Primary",4709,"O",145.026,-37.6707
"Primary",4711,"O",144.99,-37.7221
"Primary",4712,"O",145.073,-37.9203
"Primary",4715,"O",145.152,-37.8076
"Primary",4716,"O",145.102,-37.9131
"Primary",4717,"O",145.123,-37.8008
"Primary",4718,"O",145.299,-37.8748
"Primary",4720,"O",142.921,-37.2774
"Primary",4721,"O",144.915,-37.7157
"Primary",4723,"O",145.215,-37.9766
"Primary",4725,"O",147.608,-37.8245
"Special",4728,"O",144.279,-36.7378
"Primary",4730,"O",145.18,-37.9544
"Primary",4731,"O",144.948,-37.7213
"Primary",4733,"O",145.079,-37.7819
"Primary",4735,"O",144.342,-38.1794
"Primary",4740,"O",146.247,-38.1897
"Primary",4741,"O",144.811,-37.742
"Primary",4742,"O",145.413,-36.3665
"Primary",4743,"O",143.546,-35.3318
"Primary",4744,"O",144.818,-37.7922
"Primary",4745,"O",144.837,-37.7722
"Primary",4746,"O",145.078,-37.7434
"Primary",4750,"O",141.611,-38.3653
"Primary",4753,"O",145.075,-37.7351
"Primary",4754,"O",145.068,-37.9653
"Primary",4755,"O",145.245,-38.1484
"Primary",4761,"O",146.317,-36.3726
"Special",4762,"O",143.819,-37.5524
"Primary",4764,"O",145.029,-37.7331
"Primary",4767,"O",148.466,-37.6978
"Special",4768,"O",144.338,-38.1142
"Primary",4770,"O",144.933,-37.5826
"Primary",4773,"O",142.5,-38.3896
"Primary",4775,"O",143.572,-38.3436
"Primary",4777,"O",142.034,-37.7479
"Primary",4778,"O",145.057,-37.9146
"Primary",4780,"O",145.127,-38.1605
"Primary",4788,"O",144.875,-37.8205
"Special",4792,"O",144.855,-37.7796
"Primary",4798,"O",145.127,-38.0666
"Primary",4802,"O",145.158,-37.9627
"Primary",4803,"O",145.036,-37.9741
"Primary",4804,"O",144.328,-38.118
"Primary",4807,"O",145.192,-37.9703
"Primary",4808,"O",145.18,-37.8287
"Primary",4809,"O",144.908,-37.705
"Primary",4810,"O",145.212,-37.9985
"Primary",4811,"O",144.801,-37.7317
"Primary",4812,"O",144.862,-37.7662
"Primary",4813,"O",145.159,-37.7969
"Primary",4814,"O",146.877,-36.1224
"Primary",4815,"O",145.147,-38.1623
"Primary",4816,"O",145.135,-37.8036
"Primary",4819,"O",145.258,-37.8303
"Primary",4821,"O",144.916,-37.7249
"Primary",4823,"O",145.095,-37.9234
"Primary",4827,"O",145.025,-37.6805
"Primary",4832,"O",145.112,-37.8892
"Primary",4837,"O",145.07,-37.9347
"Primary",4838,"O",145.087,-37.7064
"Primary",4843,"O",145.088,-37.987
"Primary",4844,"O",145.206,-37.8162
"Primary",4845,"O",145.037,-37.716
"Special",4846,"O",145.041,-37.9021
"Primary",4848,"O",144.8,-37.781
"Primary",4851,"O",145.136,-37.9424
"Primary",4852,"O",144.88,-37.7022
"Primary",4853,"O",147.084,-38.0957
"Primary",4854,"O",145.216,-37.7797
"Primary",4855,"O",144.824,-37.7627
"Primary",4860,"O",145.166,-37.8276
"Primary",4863,"O",145.139,-37.8271
"Primary",4867,"O",144.327,-38.1013
"Special",4871,"O",145.178,-37.8003
"Primary",4873,"O",144.32,-38.1795
"Primary",4874,"O",145.142,-37.8902
"Primary",4875,"O",144.929,-37.6804
"Primary",4876,"O",144.967,-37.6958
"Primary",4877,"O",144.866,-37.7375
"Primary",4879,"O",145.264,-37.7938
"Primary",4881,"O",145.176,-37.8436
"Primary",4885,"O",144.411,-38.0158
"Primary",4886,"O",145.239,-37.7977
"Primary",4887,"O",145.277,-38.1039
"Primary",4892,"O",145.09,-37.7347
"Primary",4893,"O",145.119,-37.6923
"Primary",4894,"O",145.327,-37.9131
"Primary",4895,"O",143.208,-38.4986
"Primary",4896,"O",145.611,-36.1457
"Primary",4897,"O",145.155,-37.7115
"Primary",4902,"O",145.147,-38.1097
"Primary",4903,"O",145.115,-37.8629
"Primary",4905,"O",145.269,-37.8863
"Primary",4906,"O",145.266,-37.8693
"Primary",4908,"O",145.278,-37.8586
"Primary",4910,"O",145.056,-37.9418
"Primary",4911,"O",145.218,-37.8029
"Special",4915,"O",144.921,-37.6994
"Primary",4916,"O",145.296,-37.7989
"Special",4918,"O",145.208,-37.9699
"Primary",4919,"O",144.327,-38.1538
"Primary",4922,"O",145.152,-38.1379
"Primary",4923,"O",145.179,-37.8835
"Primary",4924,"O",145.143,-37.8791
"Primary",4925,"O",145.13,-37.7256
"Special",4928,"O",145.032,-37.939
"Primary",4931,"O",144.849,-37.8369
"Primary",4932,"O",145.163,-37.8467
"Primary",4934,"O",142.771,-37.0658
"Primary",4935,"O",145.101,-37.7153
"Primary",4936,"O",143.836,-37.5233
"Primary",4937,"O",145.325,-37.796
"Primary",4939,"O",145.157,-38.1256
"Primary",4943,"O",145.406,-36.3985
"Primary",4944,"O",145.063,-37.7073
"Primary",4945,"O",144.803,-37.7551
"Primary",4948,"O",144.81,-37.7485
"Primary",4949,"O",143.927,-35.7412
"Special",4950,"O",144.927,-37.6724
"Primary",4955,"O",145.083,-37.98
"Primary",4961,"O",145.174,-37.8005
"Primary",4962,"O",144.336,-38.1061
"Primary",4967,"O",145.296,-37.8446
"Special",4968,"O",145.162,-37.8884
"Primary",4970,"O",146.415,-38.3111
"Primary",4972,"O",144.316,-38.1663
"Primary",4973,"O",145.261,-37.8549
"Primary",4974,"O",145.134,-38.0902
"Primary",4975,"O",146.424,-38.2279
"Primary",4976,"O",145.035,-37.6765
"Special",4979,"O",144.814,-37.756
"Primary",4980,"O",144.97,-37.7956
"Primary",4983,"O",144.339,-38.1881
"Primary",4985,"O",145.109,-37.7606
"Primary",4986,"O",145.174,-37.8664
"Primary",4988,"O",145.081,-37.7005
"Primary",4989,"O",145.217,-37.9603
"Primary",4990,"O",145.251,-37.8836
"Primary",4991,"O",145.113,-37.7933
"Primary",4994,"O",144.744,-36.1414
"Primary",4995,"O",142.94,-37.2747
"Primary",4996,"O",145.121,-38.1744
"Primary",4999,"O",145.001,-37.6787
"Primary",5000,"O",145.238,-37.9232
"Primary",5002,"O",144.696,-37.8729
"Primary",5004,"O",145.119,-37.7672
"Primary",5005,"O",145.158,-38.1475
"Primary",5006,"O",144.713,-37.5748
"Primary",5007,"O",144.887,-37.688
"Primary",5009,"O",145.309,-37.7721
"Primary",5010,"O",145.159,-37.8673
"Primary",5011,"O",145.321,-37.7738
"Primary",5012,"O",145.278,-37.8758
"Primary",5013,"O",145.13,-37.7089
"Primary",5019,"O",145.166,-37.7875
"Primary",5020,"O",145.391,-36.3985
"Primary",5021,"O",147.089,-38.1081
"Special",5025,"O",145.181,-37.8511
"Special",5027,"O",145.075,-37.702
"Primary",5032,"O",144.765,-37.771
"Primary",5034,"O",144.966,-37.6744
"Primary",5035,"O",145.029,-37.6642
"Primary",5036,"O",144.567,-37.6775
"Primary",5037,"O",145.166,-37.6735
"Primary",5038,"O",145.173,-37.9143
"Primary",5039,"O",145.253,-37.8496
"Primary",5040,"O",145.058,-38.226
"Primary",5042,"O",146.894,-36.1396
"Primary",5043,"O",145.162,-38.1166
"Primary",5044,"O",144.996,-37.8136
"Primary",5045,"O",145.233,-37.8364
"Primary",5047,"O",144.781,-37.7359
"Primary",5048,"O",145.369,-37.7796
"Primary",5049,"O",144.692,-37.8837
"Primary",5050,"O",144.815,-37.7993
"Primary",5053,"O",145.166,-38.141
"Primary",5055,"O",145.171,-37.9797
"Primary",5057,"O",145.336,-37.7552
"Primary",5059,"O",145.336,-37.7868
"Primary",5064,"O",144.799,-37.7884
"Primary",5066,"O",145.323,-37.8111
"Primary",5067,"O",147.28,-36.8643
"Primary",5068,"O",144.935,-37.7858
"Primary",5072,"O",145.295,-38.0094
"Primary",5075,"O",145.265,-37.8184
"Primary",5076,"O",144.329,-38.2083
"Special",5079,"O",146.257,-38.1917
"Special",5080,"O",145.163,-38.1472
"Primary",5082,"O",145.263,-37.8834
"Primary",5084,"O",144.775,-37.7561
"Primary",5087,"O",145.214,-37.9442
"Primary",5088,"O",145.346,-36.3801
"Primary",5090,"O",144.572,-37.6948
"Primary",5091,"O",144.644,-37.8941
"Primary",5093,"O",144.898,-37.6896
"Primary",5094,"O",145.178,-37.9002
"Special",5097,"O",145.107,-37.8597
"Primary",5098,"O",144.913,-37.6811
"Special",5099,"O",145.095,-37.7633
"Primary",5101,"O",145.079,-37.9628
"Primary",5104,"O",145.208,-37.7484
"Primary",5105,"O",145.184,-37.9144
"Primary",5106,"O",145.123,-37.983
"Special",5109,"O",144.932,-37.7768
"Primary",5111,"O",145.188,-37.8652
"Primary",5113,"O",145.181,-37.8529
"Primary",5117,"O",146.417,-38.3046
"Primary",5118,"O",144.818,-37.7536
"Primary",5120,"O",145.193,-37.9492
"Primary",5121,"O",145.255,-37.7896
"Primary",5123,"O",144.395,-38.1775
"Primary",5127,"O",145.383,-37.7326
"Primary",5129,"O",145.143,-37.7563
"Primary",5130,"O",145.261,-38.0347
"Primary",5131,"O",145.236,-37.8549
"Primary",5132,"O",145.286,-37.8101
"Primary",5133,"O",144.883,-38.3739
"Primary",5134,"O",144.993,-37.683
"Primary",5135,"O",145.156,-38.1681
"Primary",5136,"O",145.246,-37.9791
"Primary",5139,"O",144.776,-37.7376
"Primary",5140,"O",145.101,-38.1884
"Primary",5141,"O",146.861,-36.1305
"Special",5142,"O",145.097,-38.014
"Special",5143,"O",145.17,-38.1433
"Special",5144,"O",145.041,-37.7563
"Special",5145,"O",144.942,-37.8368
"Special",5147,"O",145.652,-35.9258
"Special",5151,"O",145.166,-37.907
"Primary",5152,"O",144.629,-37.8958
"Special",5153,"O",145.415,-36.3674
"Primary",5157,"O",145.178,-37.8592
"Primary",5160,"O",145.066,-37.6746
"Special",5161,"O",145.112,-37.6867
"Special",5162,"O",144.568,-37.6806
"Special",5164,"O",145.154,-37.9493
"Special",5165,"O",144.688,-37.884
"Primary",5168,"O",145.156,-37.7699
"Primary",5171,"O",145.014,-38.2756
"Primary",5172,"O",144.78,-37.8685
"Primary",5173,"O",145.393,-37.8926
"Special",5175,"O",147.066,-38.1133
"Primary",5176,"O",145.192,-37.9021
"Primary",5179,"O",144.774,-37.7443
"Primary",5180,"O",144.728,-37.5657
"Primary",5182,"O",145.076,-38.1877
"Primary",5184,"O",145.11,-37.6874
"Primary",5185,"O",144.328,-38.2004
"Primary",5186,"O",144.918,-37.6597
"Primary",5189,"O",145.268,-38.1031
"Primary",5190,"O",145.145,-38.0698
"Primary",5191,"O",145.154,-38.105
"Primary",5193,"O",145.339,-37.825
"Primary",5194,"O",145.311,-37.7502
"Primary",5195,"O",145.489,-38.4312
"Primary",5196,"O",145.233,-37.8611
"Primary",5197,"O",144.707,-37.581
"Primary",5200,"O",144.437,-37.6553
"Primary",5201,"O",143.819,-37.5849
"Primary",5202,"O",145.173,-38.2983
"Primary",5205,"O",145.268,-37.968
"Primary",5206,"O",144.554,-37.6756
"Primary",5207,"O",146.301,-36.3416
"Special",5210,"O",145.281,-37.8156
"Primary",5212,"O",145.175,-37.7739
"Primary",5213,"O",145.327,-38.0315
"Special",5214,"O",144.827,-37.7614
"Special",5215,"O",144.774,-37.856
"Special",5218,"O",144.729,-37.596
"Special",5219,"O",145.03,-37.7006
"Special",5221,"O",146.532,-38.2054
"Special",5222,"O",146.855,-36.1231
"Special",5225,"O",145.142,-37.8572
"Special",5226,"O",146.3,-36.3438
"Primary",5227,"O",144.924,-37.6502
"Primary",5228,"O",141.592,-38.3622
"Special",5230,"O",145.01,-38.3418
"Primary",5231,"O",145.248,-37.9697
"Primary",5232,"O",145.276,-38.0874
"Primary",5234,"O",145.23,-37.8823
"Primary",5235,"O",145.265,-37.988
"Primary",5236,"O",144.768,-37.7333
"Special",5238,"O",145.296,-38.0076
"Special",5239,"O",145.057,-38.2261
"Special",5240,"O",145.057,-37.9434
"Primary",5241,"O",145.327,-37.7664
"Primary",5243,"O",144.936,-37.6087
"Primary",5244,"O",145.051,-37.6668
"Primary",5245,"O",147.567,-38.0582
"Special",5246,"O",145.385,-37.775
"Special",5247,"O",143.589,-38.3457
"Primary",5248,"O",144.752,-37.5806
"Special",5251,"O",142.144,-34.1999
"Special",5253,"O",145.062,-37.9267
"Primary",5254,"O",144.711,-37.8711
"Primary",5255,"O",145.271,-37.7773
"Primary",5256,"O",144.586,-37.6702
"Primary",5257,"O",145.202,-38.1509
"Pri/Sec",6223,"O",141.484,-36.7158
"Primary",5258,"O",144.794,-37.7089
"Primary",5260,"O",145.14,-37.6899
"Special",5261,"O",144.952,-37.7329
"Special",5262,"O",144.914,-37.6816
"Special",5267,"O",144.82,-37.8034
"Special",5268,"O",143.545,-35.3492
"Primary",5269,"O",144.999,-37.8296
"Primary",5271,"O",145.007,-37.8146
"Special",5272,"O",142.784,-37.0577
"Special",5273,"O",142.187,-36.7078
"Special",5276,"O",143.065,-38.3236
"Special",5277,"O",142.473,-38.3744
"Special",5278,"O",144.884,-37.8179
"Primary",5280,"O",144.554,-38.1652
"Primary",5281,"O",145.262,-37.9184
"Special",5282,"O",141.591,-38.3625
"Special",5283,"O",142.022,-37.7269
"Special",5284,"O",145.015,-37.6672
"Primary",5285,"O",145.147,-37.8402
"Primary",5286,"O",145.053,-37.6427
"Primary",5287,"O",144.785,-37.8866
"Primary",5288,"O",145.088,-37.789
"Special",5289,"O",145.925,-38.1649
"Special",5290,"O",144.778,-37.8508
"Special",5291,"O",142.387,-36.249
"Primary",5292,"O",145.274,-38.0435
"Primary",5293,"O",145.304,-38.0036
"Primary",5294,"O",145.274,-37.98
"Primary",5295,"O",145.263,-37.9053
"Primary",5297,"O",144.777,-37.7174
"Special",5298,"O",144.24,-36.7959
"Special",5299,"O",144.754,-36.1464
"Primary",5301,"O",145.117,-38.0225
"Primary",5305,"O",145.334,-38.0495
"Primary",5308,"O",145.347,-38.0526
"Special",5309,"O",145.285,-37.8804
"Primary",5312,"O",144.676,-37.8674
"Primary",5313,"O",145.192,-38.1038
"Pri/Sec",5315,"O",144.691,-37.8598
"Primary",5319,"O",145.205,-38.1357
"Primary",5325,"O",145.051,-37.6572
"Primary",5336,"O",144.792,-37.7178
"Primary",5337,"O",144.758,-37.8788
"Primary",5342,"O",144.921,-37.5915
"Primary",5343,"O",144.638,-37.9032
"Primary",5345,"O",145.243,-37.9339
"Primary",5346,"O",142.134,-34.1937
"Primary",5350,"O",145.279,-38.0336
"Primary",5352,"O",144.705,-37.5639
"Primary",5354,"O",144.542,-38.2614
"Primary",5363,"O",145.316,-38.0064
"Primary",5365,"O",144.659,-37.8781
"Primary",5367,"O",145.717,-36.6342
"Special",5368,"O",144.328,-38.1788
"Primary",5369,"O",144.423,-37.6559
"Primary",5370,"O",145.496,-38.0609
"Primary",5371,"O",145.283,-38.0796
"Primary",5372,"O",145.168,-38.23
"Pri/Sec",5375,"O",143.217,-37.9396
"Pri/Sec",5376,"O",142.81,-38.0864
"Primary",5377,"O",141.799,-37.8563
"Primary",5380,"O",144.32,-38.241
"Primary",5381,"O",142.523,-38.286
"Primary",5382,"O",141.717,-38.2527
"Primary",5383,"O",143.876,-37.573
"Primary",5384,"O",143.894,-37.5554
"Primary",5386,"O",142.427,-35.3439
"Primary",5389,"O",146.399,-37.9591
"Primary",5392,"O",147.012,-38.0235
"Primary",5393,"O",145.88,-38.2046
"Primary",5394,"O",145.95,-37.9215
"Primary",5395,"O",146.875,-38.054
"Primary",5396,"O",146.431,-38.6655
"Primary",5397,"O",146.412,-36.7656
"Primary",5398,"O",146.236,-36.6178
"Primary",5399,"O",146.545,-36.4353
"Primary",5401,"O",145.329,-36.0515
"Primary",5402,"O",142.358,-34.4739
"Pri/Sec",5403,"O",142.854,-35.5093
"Primary",5404,"O",144.257,-37.003
"Primary",5407,"O",143.479,-35.2325
"Primary",5410,"O",144.878,-37.7308
"Primary",5414,"O",144.595,-37.6067
"Primary",5416,"O",145.107,-37.8629
"Primary",5418,"O",145.133,-38.1253
"Primary",5419,"O",145.126,-37.8345
"Primary",5420,"O",146.015,-38.5793
"Primary",5421,"O",145.566,-38.176
"Primary",5422,"O",145.068,-37.9593
"Primary",5423,"O",145.546,-38.5603
"Primary",5425,"O",145.168,-37.8747
"Primary",5426,"O",145.247,-37.892
"Primary",5427,"O",145.173,-37.9283
"Primary",5428,"O",145.108,-37.8995
"Primary",5429,"O",145.255,-37.8614
"Primary",5430,"O",145.142,-37.868
"Primary",5431,"O",145.206,-37.8296
"Pri/Sec",5432,"O",141.299,-37.0334
"Pri/Sec",5433,"O",141.177,-35.2656
"Pri/Sec",5434,"O",142.319,-38.107
"Pri/Sec",5435,"O",145.189,-37.9425
"Primary",5436,"O",145.168,-37.8969
"Primary",5438,"O",145.101,-37.7215
"Primary",5439,"O",143.454,-35.2904
"Primary",5440,"O",143.684,-37.6435
"Primary",5441,"O",145.652,-37.7528
"Primary",5442,"O",146.703,-38.2942
"Primary",5443,"O",144.917,-37.6316
"Primary",5444,"O",144.395,-38.1652
"Primary",5450,"O",144.856,-37.7918
"Primary",5453,"O",144.944,-37.7012
"Primary",5454,"O",145.148,-37.7816
"Primary",5456,"O",143.343,-35.1861
"Primary",5463,"O",145.286,-38.0626
"Special",5464,"O",145.296,-38.1102
"Primary",5478,"O",145.238,-37.8238
"Pri/Sec",5479,"O",145.323,-38.0156
"Primary",5480,"O",144.744,-37.6992
"Primary",5482,"O",145.307,-38.065
"Primary",5485,"O",144.931,-37.6343
"Pri/Sec",5486,"O",144.743,-37.8852
"Primary",5488,"O",145.061,-38.2459
"Primary",5489,"O",145.02,-37.8881
"Special",5490,"O",147.599,-37.8287
"Primary",5493,"O",144.923,-37.6166
"Primary",5494,"O",145.249,-38.052
"Special",5495,"O",145.957,-38.4782
"Primary",5497,"O",145.126,-37.5861
"Primary",5498,"O",144.727,-37.8636
"Primary",5499,"O",144.754,-37.7351
"Pri/Sec",5501,"O",144.719,-37.8388
"Primary",5503,"O",145.347,-38.0674
"Primary",5504,"O",145.439,-38.068
"Primary",5507,"O",145.47,-38.0845
"Primary",5508,"O",144.76,-37.7167
"Primary",5510,"O",145.288,-38.0868
"Special",5511,"O",145.151,-37.8402
"Primary",5512,"O",144.763,-37.7893
"Primary",5513,"O",145.025,-37.6287
"Primary",5518,"O",145.305,-38.1062
"Pri/Sec",5520,"O",143.82,-37.5278
"Primary",5521,"O",145.254,-38.075
"Primary",5522,"O",144.906,-37.5823
"Primary",5523,"O",145.021,-37.7058
"Primary",5524,"O",144.929,-37.6876
"Primary",5526,"O",144.846,-37.7829
"Pri/Sec",5528,"O",144.741,-37.9083
"Primary",5530,"O",145.167,-37.8075
"Primary",5531,"O",144.257,-36.7706
"Primary",5532,"O",145.001,-37.6637
"Primary",5533,"O",145.18,-37.9923
"Primary",5534,"O",145.155,-37.9826
"Primary",5535,"O",145.206,-37.965
"Primary",5536,"O",145.15,-37.9711
"Primary",5537,"O",145.159,-37.9392
"Primary",5538,"O",145.14,-37.9588
"Primary",5539,"O",144.809,-37.718
"Primary",5540,"O",144.677,-37.8847
"Primary",5541,"O",144.269,-36.7368
"Primary",5542,"O",144.928,-37.7057
"Primary",5544,"O",145.003,-37.6967
"Primary",5546,"O",144.942,-37.6706
"Pri/Sec",5547,"O",148.701,-37.3315
"Primary",5548,"O",142.215,-36.7114
"Primary",5549,"O",144.611,-37.8959
"Special",5550,"O",145.411,-38.0708
"Primary",5551,"O",145.026,-37.6449
"Pri/Sec",5552,"O",145.123,-37.5982
"Primary",5554,"O",144.931,-37.6619
"Special",5555,"O",144.913,-37.6876
"Primary",5557,"O",144.542,-37.6664
"Primary",6201,"O",143.503,-38.2419
"Pri/Sec",6203,"O",143.661,-38.7535
"Primary",6207,"O",146.979,-37.8796
"Primary",6209,"O",145.651,-35.9251
"Primary",6211,"O",144.213,-35.8063
"Pri/Sec",6212,"O",144.99,-37.803
"Primary",6215,"O",142.34,-37.639
"Pri/Sec",6217,"O",144.141,-36.3722
"Primary",6221,"O",146.202,-38.6573
"Primary",6225,"O",141.613,-38.1275
"Primary",6229,"O",147.039,-36.251
"Pri/Sec",6231,"O",143.383,-38.6818
"Primary",6233,"O",144.537,-36.2658
"Pri/Sec",6235,"O",142.885,-35.0562
"Pri/Sec",6236,"O",142.921,-38.2463
"Primary",6237,"O",141.548,-37.7064
"Pri/Sec",6238,"O",145.014,-36.5833
"Pri/Sec",6242,"O",145.072,-37.7248
"Primary",6243,"O",145.465,-38.0654
"Primary",6245,"O",145.77,-38.3425
"Primary",6247,"O",142.228,-38.3866
"Primary",6249,"O",144.997,-38.3665
"Pri/Sec",6252,"O",145.349,-37.8682
"Primary",6255,"O",144.957,-36.2522
"Pri/Sec",6257,"O",141.594,-34.3904
"Pri/Sec",6259,"O",143.145,-38.2397
"Pri/Sec",6260,"O",142.976,-38.4841
"Pri/Sec",6261,"O",145.026,-37.762
"Pri/Sec",6262,"O",143.619,-36.417
"Secondary",7028,"O",145.146,-38.174
"Pri/Sec",7050,"O",145.112,-37.8092
"Secondary",7088,"O",143.064,-38.324
"Secondary",7108,"O",145.271,-38.075
"Secondary",7115,"O",144.152,-37.3347
"Secondary",7122,"O",145.014,-38.3426
"Secondary",7183,"O",144.327,-38.211
"Secondary",7198,"O",142.165,-34.2323
"Secondary",7205,"O",144.234,-36.7907
"Secondary",7217,"O",145.013,-37.6669
"Secondary",7219,"O",145.341,-37.7458
"Secondary",7247,"O",144.568,-37.7083
"Secondary",7250,"O",142.148,-34.1957
"Secondary",7255,"O",145.06,-37.9277
"Secondary",7267,"O",143.877,-37.6074
"Secondary",7275,"O",144.886,-37.7467
"Secondary",7300,"O",145.025,-37.7401
"Secondary",7331,"O",145.408,-36.3989
"Secondary",7366,"O",145.041,-37.8231
"Secondary",7384,"O",144.965,-37.8282
"Secondary",7395,"O",142.459,-38.3587
"Secondary",7402,"O",144.654,-37.889
"Secondary",7405,"O",144.298,-36.7389
"Secondary",7408,"O",145.12,-37.515
"Secondary",7505,"O",145.701,-37.1945
"Secondary",7526,"O",145.045,-37.8399
"Secondary",7540,"O",143.818,-37.5548
"Secondary",7550,"O",145.077,-37.7979
"Secondary",7560,"O",145.262,-37.839
"Secondary",7565,"O",143.382,-37.4388
"Secondary",7575,"O",146.691,-36.3472
"Secondary",7585,"O",144.331,-38.1756
"Secondary",7595,"O",144.28,-36.7551
"Secondary",7610,"O",145.15,-37.8104
"Secondary",7635,"O",145.138,-37.8206
"Secondary",7645,"O",144.848,-37.778
"Secondary",7647,"O",145.166,-37.8995
"Secondary",7650,"O",145.019,-37.9202
"Secondary",7655,"O",145.04,-37.2044
"Secondary",7670,"O",144.898,-37.7471
"Secondary",7680,"O",145.073,-37.8302
"Secondary",7690,"O",145.07,-37.8199
"Secondary",7695,"O",141.387,-37.5888
"Secondary",7720,"O",145.069,-37.9533
"Secondary",7725,"O",145.654,-35.9136
"Secondary",7735,"O",144.226,-35.8135
"Secondary",7747,"O",145.287,-38.1081
"Secondary",7757,"O",145.279,-37.7984
"Secondary",7763,"O",144.933,-37.7823
"Secondary",7770,"O",142.034,-36.4498
"Secondary",7773,"O",145.159,-37.7822
"Secondary",7775,"O",142.974,-36.3708
"Secondary",7776,"O",145.138,-37.7846
"Secondary",7785,"O",145.851,-38.1447
"Secondary",7790,"O",144.263,-36.7203
"Secondary",7805,"O",145.142,-37.7246
"Secondary",7810,"O",144.984,-37.882
"Secondary",7813,"O",145.033,-37.6443
"Secondary",7820,"O",145.565,-36.7582
"Secondary",7823,"O",145.259,-37.8727
"Secondary",7837,"O",144.299,-36.7762
"Secondary",7841,"O",144.895,-37.7991
"Secondary",7845,"O",146.197,-38.6517
"Secondary",7850,"O",145.128,-38.1606
"Secondary",7855,"O",144.374,-38.153
"Secondary",7856,"O",144.341,-38.1104
"Secondary",7857,"O",144.585,-37.4981
"Secondary",7858,"O",144.891,-37.6892
"Secondary",7874,"O",145.062,-37.7076
"Secondary",7893,"O",145.175,-38.308
"Secondary",7900,"O",145.532,-37.6436
"Secondary",7910,"O",141.62,-38.1293
"Secondary",7918,"O",145.177,-37.8662
"Secondary",7945,"O",143.914,-35.7257
"Secondary",7947,"O",144.926,-37.7879
"Secondary",7950,"O",145.062,-37.7947
"Secondary",7954,"O",145.116,-37.8037
"Secondary",7955,"O",145.496,-38.197
"Secondary",7960,"O",145.804,-38.4439
"Pri/Sec",7965,"O",145.056,-36.3175
"Secondary",7970,"O",144.458,-37.2513
"Secondary",7985,"O",145.031,-37.6727
"Secondary",7986,"O",145.035,-37.661
"Secondary",7995,"O",145.345,-37.7607
"Secondary",8000,"O",145.207,-37.9578
"Secondary",8003,"O",145.002,-37.8165
"Secondary",8005,"O",146.982,-37.9649
"Secondary",8010,"O",146.089,-37.0627
"Secondary",8015,"O",144.889,-37.7795
"Secondary",8022,"O",144.353,-38.1488
